#Distance_(pixels),Gray_Value
454,61.0219
455,62.0775
456,63.9970
457,66.9324
458,70.5626
459,74.4304
460,77.7386
461,80.0020
462,82.1819
463,85.2346
464,89.1958
465,94.5755
466,99.7296
467,103.8280
468,108.0577
469,111.3956
470,113.5427
471,115.6809
472,117.0885
473,118.5040
474,119.7336
475,120.4722
476,120.7714
477,121.5209
478,121.3777
479,119.6988
480,118.2127
481,116.0447
482,113.4145
483,110.7863
484,107.9085
485,104.1789
486,100.1988
487,96.0557
488,91.4523
489,86.9612
490,83.3966
491,79.3807
492,75.6093
493,72.3996
494,69.5119
495,66.9980
496,64.4662
497,61.6034
498,58.8857
499,56.6650
500,54.6113
501,53.0666
502,52.1809
503,51.7028
504,51.8598
505,51.9443
506,52.2227
507,53.1690
508,55.1809
509,57.6272
510,60.3797
511,62.9732
512,65.9036
513,68.8907
514,72.6889
515,76.8598
516,81.3141
517,85.4056
518,89.3380
519,93.1481
520,96.2207
521,98.7674
522,101.7714
523,105.1899
524,107.9414
525,109.9891
526,111.8330
527,113.7286
528,115.5825
529,117.3360
530,118.7028
531,120.2485
532,121.0487
533,121.8638
534,121.9781
535,121.3916
536,118.7256
537,115.5895
538,111.9563
539,108.6412
540,105.6561
541,102.3559
542,98.0318
543,93.7435
544,89.4503
545,84.8191
546,80.3608
547,76.5298
548,72.9185
549,69.3479
550,65.5497
551,62.4920
552,60.1302
553,58.1431
554,56.3082
555,54.7813
556,53.1252
557,52.1441
558,52.0905
559,52.3797
560,53.1024
561,54.5577
562,56.8131
563,59.3270
564,61.8827
565,64.9483
566,67.9135
567,71.2097
568,75.4016
569,79.9125
570,84.0348
571,87.7972
572,92.3827
573,97.6978
574,103.0417
575,107.2038
576,110.8797
577,113.6034
578,115.8191
579,117.5447
580,119.1561
581,121.1014
582,121.5527
583,121.6988
584,122.6322
585,122.8121
586,122.9125
587,122.1163
588,120.5417
589,118.6958
590,116.0626
591,112.7555
592,108.9911
593,104.7147
594,100.3926
595,96.9314
596,93.1541
597,88.3598
598,84.3747
599,80.5467
600,76.4155
601,72.4642
602,68.6571
603,65.8638
604,63.6511
605,61.2823
606,58.9612
607,57.0358
608,55.3996
609,53.9801
610,52.8519
611,52.0030
612,52.0835
613,52.5865
614,53.1958
615,54.1243
616,56.0994
617,58.7018
618,61.4652
619,63.7575
620,66.4354
621,69.8549
622,73.5964
623,77.2982
624,81.0109
625,85.3877
626,90.3618
627,95.3529
628,99.6044
629,103.1819
630,106.9463
631,110.8221
632,113.9791
633,116.4254
634,119.5736
635,123.0000
636,124.9394
637,126.4652
638,128.2585
639,129.9046
640,130.0358
641,127.5099
642,124.6471
643,122.7495
644,121.0726
645,119.3638
646,117.4921
647,115.3887
648,112.1342
649,107.6630
650,103.4911
651,99.5089
652,95.7028
653,91.7286
654,87.5746
655,83.0507
656,78.3300
657,74.0179
658,69.9493
659,66.4324
660,63.4364
661,60.5169
662,58.3598
663,57.1412
664,56.3917
665,56.0159
666,55.3728
667,55.2217
668,55.6849
669,57.0567
670,58.8907
671,61.2475
672,64.0865
673,67.2724
674,70.1471
675,72.4324
676,74.7187
677,77.7058
678,81.6749
679,86.0726
680,89.2604
681,91.8151
682,94.2187
683,97.6600
684,100.1153
685,102.0427
686,104.3658
687,106.3141
688,108.9394
689,111.6551
690,113.8211
691,114.2435
692,115.1879
693,116.0258
694,116.3847
695,116.6431
696,116.8847
697,115.7992
698,113.9861
699,112.4543
700,111.9145
701,110.1372
702,107.4095
703,104.7435
704,101.9145
705,98.5815
706,95.1163
707,91.1918
708,86.7903
709,82.7604
710,78.7028
711,75.1541
712,71.6740
713,68.4274
714,65.6441
715,63.1849
716,61.2465
717,59.8181
718,58.6252
719,57.6491
720,57.4086
721,57.9314
722,58.6223
723,59.9284
724,62.0944
725,64.7406
726,67.2773
727,70.3062
728,73.7813
729,76.6928
730,79.3628
731,82.9354
732,87.4215
733,91.7664
734,95.8111
735,99.5487
736,102.9414
737,105.5746
738,108.1670
739,111.6054
740,114.2694
741,115.9394
742,117.5746
743,119.3201
744,120.7435
745,121.8091
746,122.0934
747,121.6859
748,120.5278
749,119.6064
750,118.3648
751,117.3062
752,115.6422
753,113.0696
754,110.5070
755,107.5308
756,103.8976
757,99.6769
758,95.3608
759,91.3042
760,87.0497
761,83.2763
762,79.9095
763,75.9861
764,72.1451
765,69.0567
766,65.9135
767,62.7306
768,60.4443
769,58.5775
770,57.0119
771,55.8926
772,55.2535
773,54.9920
774,55.2982
775,56.1998
776,57.7207
777,59.7843
778,62.8012
779,66.4742
780,70.1869
781,73.4851
782,76.7346
783,81.0755
784,85.6889
785,89.8380
786,94.1541
787,98.4394
788,102.4682
789,106.5666
790,110.2803
791,112.9314
792,115.0507
793,117.4145
794,118.8569
795,119.7058
796,121.1600
797,124.1253
798,127.4235
799,128.4583
800,127.1461
801,124.6471
802,122.4324
803,120.6988
804,119.4602
805,117.5825
806,115.1173
807,112.7604
808,109.6113
809,105.8469
810,101.9175
811,97.8718
812,94.3032
813,90.5676
814,86.6014
815,82.6034
816,79.3340
817,76.2028
818,72.6889
819,69.0020
820,65.6610
821,62.7535
822,60.5825
823,58.8181
824,57.2833
825,55.8966
826,55.0239
827,54.7962
828,55.2117
829,55.4881
830,56.1660
831,57.5964
832,59.7117
833,62.1113
834,64.9583
835,67.5159
836,70.3499
837,73.5825
838,77.3429
839,81.5318
840,86.5736
841,91.1789
842,95.1531
843,97.9374
844,99.7545
845,101.9930
846,104.6451
847,106.9046
848,109.3648
849,112.4483
850,115.6501
851,118.4851
852,120.6789
853,121.9881
854,122.9612
855,123.3897
856,122.8410
857,121.8867
858,121.2982
859,120.7903
860,119.7724
861,118.2346
862,116.1521
863,113.4781
864,110.9294
865,108.6262
866,105.7704
867,101.3986
868,96.0984
869,91.5666
870,87.3926
