Tiempo [s], Recorrido [m], Posición [m], Velocidad [m/s], Aceleración [m/s^2]
4.3504990,-0.0710000,0.0000000,0.2599968,2.2003901
4.4005050,-0.0550000,0.0000000,0.3400314,1.4504541
4.4504920,-0.0370000,0.0000000,0.4050378,1.1470448
4.5015010,-0.0140000,0.0000000,0.4555616,0.3758739
4.5514870,0.0090000,0.0000000,0.4442440,-0.5214169
4.6004750,0.0300000,0.0000000,0.4045378,-1.2461203
4.6504890,0.0490000,0.0000000,0.3199725,-1.9449786
4.7004720,0.0620000,0.0000000,0.2100615,-2.3000474
4.7504640,0.0700000,0.0000000,0.0900234,-2.4851507
4.8004740,0.0710000,0.0000000,-0.0384615,-2.6035637
4.8514620,0.0660000,0.0000000,-0.1729992,-2.4292445
4.9004440,0.0540000,0.0000000,-0.2821366,-1.8960660
4.9504360,0.0380000,0.0000000,-0.3599828,-1.4789504
5.0004450,0.0180000,0.0000000,-0.4300304,-0.8425663
5.0504320,-0.0050000,0.0000000,-0.4442606,0.1444309
5.0994150,-0.0260000,0.0000000,-0.4165891,0.7809163
5.1514330,-0.0470000,0.0000000,-0.3640356,1.4377592
5.2004100,-0.0630000,0.0000000,-0.2739065,2.0569579
5.2504020,-0.0740000,0.0000000,-0.1600160,2.3314374
5.3004180,-0.0790000,0.0000000,-0.0407415,2.5015127
5.3513910,-0.0780000,0.0000000,0.0928349,2.5154235
5.4004010,-0.0700000,0.0000000,0.2111628,2.1385190
5.4503910,-0.0570000,0.0000000,0.3040022,1.6895075
5.4993730,-0.0400000,0.0000000,0.3787113,1.2329329
5.5503850,-0.0190000,0.0000000,0.4260768,0.4996191
5.6003630,0.0030000,0.0000000,0.4300458,-0.2956474
5.6503760,0.0240000,0.0000000,0.3964885,-1.0244950
5.7013650,0.0430000,0.0000000,0.3258730,-1.7439982
5.7513600,0.0570000,0.0000000,0.2210794,-2.2622133
5.8003420,0.0650000,0.0000000,0.1022990,-2.3363967
5.8503520,0.0670000,0.0000000,-0.0100211,-2.2474729
5.9003410,0.0640000,0.0000000,-0.1224459,-2.4010124
5.9493470,0.0550000,0.0000000,-0.2474134,-2.1629128
6.0003410,0.0390000,0.0000000,-0.3371668,-1.3483651
6.0503260,0.0210000,0.0000000,-0.3843926,-0.7876774
6.0993220,0.0010000,0.0000000,-0.4154396,-0.3267883
6.1513160,-0.0210000,0.0000000,-0.4154986,0.5347421
6.2002980,-0.0410000,0.0000000,-0.3645781,1.3619080
6.2503100,-0.0570000,0.0000000,-0.2800069,1.8454143
6.3002850,-0.0690000,0.0000000,-0.1800721,2.2065665
6.3502900,-0.0750000,0.0000000,-0.0593819,2.4012343
6.3992850,-0.0750000,0.0000000,0.0576748,2.2656685
6.4502670,-0.0690000,0.0000000,0.1666321,2.1038855
6.5012850,-0.0580000,0.0000000,0.2722687,1.8561240
6.5502650,-0.0420000,0.0000000,0.3530974,1.2978803
6.6002550,-0.0230000,0.0000000,0.4000008,0.5689041
6.6502630,-0.0020000,0.0000000,0.4099734,-0.2997250
6.7002610,0.0180000,0.0000000,0.3700365,-0.8994951
6.7502520,0.0350000,0.0000000,0.3200352,-1.2145312
6.8002510,0.0500000,0.0000000,0.2485921,-1.8989276
6.8512260,0.0600000,0.0000000,0.1273664,-2.2785257
6.9002230,0.0630000,0.0000000,0.0204169,-2.2130726
6.9492320,0.0620000,0.0000000,-0.0895287,-2.2960699
6.9992210,0.0540000,0.0000000,-0.2069937,-2.1672208
7.0502210,0.0410000,0.0000000,-0.3080212,-1.5058812
7.1002090,0.0230000,0.0000000,-0.3600216,-0.7202886
7.1502150,0.0050000,0.0000000,-0.3800342,-0.4010526
7.2002020,-0.0150000,0.0000000,-0.4001240,0.2264833
7.2501840,-0.0350000,0.0000000,-0.3573992,1.2168510
7.3011730,-0.0510000,0.0000000,-0.2765209,1.5453804
7.3511800,-0.0630000,0.0000000,-0.2012426,1.7630180
7.4001670,-0.0710000,0.0000000,-0.1025129,2.3283629
7.4511740,-0.0730000,0.0000000,0.0328701,2.5254920
7.5001530,-0.0680000,0.0000000,0.1505126,2.0988020
7.5501630,-0.0580000,0.0000000,0.2399968,1.6335317
7.6001590,-0.0440000,0.0000000,0.3138799,1.3015949
7.6491430,-0.0270000,0.0000000,0.3691817,0.7965095
7.7001350,-0.0070000,0.0000000,0.3921492,-0.0717606
7.7511450,0.0130000,0.0000000,0.3618431,-0.7973321
7.7991360,0.0290000,0.0000000,0.3144032,-1.1534213
7.8501170,0.0440000,0.0000000,0.2466699,-1.6286501
7.9001080,0.0540000,0.0000000,0.1505435,-1.9670060
7.9491160,0.0590000,0.0000000,0.0520242,-2.0902645
8.0001080,0.0590000,0.0000000,-0.0588068,-2.2700012
8.0511150,0.0530000,0.0000000,-0.1795166,-2.1203442
8.1010850,0.0410000,0.0000000,-0.2734182,-1.6024248
8.1500960,0.0260000,0.0000000,-0.3386519,-1.0170454
8.2010930,0.0070000,0.0000000,-0.3738586,-0.2329953
8.2490840,-0.0110000,0.0000000,-0.3643843,0.2725147
8.3000710,-0.0290000,0.0000000,-0.3464216,0.7442219
8.3500800,-0.0460000,0.0000000,-0.2899801,1.4639352
8.4000720,-0.0580000,0.0000000,-0.2000380,1.7998932
8.4500590,-0.0660000,0.0000000,-0.1100286,2.0006602
8.5000460,-0.0690000,0.0000000,-0.0000240,2.2220137
8.5500530,-0.0660000,0.0000000,0.1121603,2.0013068
8.5990500,-0.0580000,0.0000000,0.1985974,1.6641426
8.6500370,-0.0460000,0.0000000,0.2781419,1.3972429
8.7000230,-0.0300000,0.0000000,0.3400040,0.8187433
8.7500330,-0.0120000,0.0000000,0.3599928,0.0687798
8.8000250,0.0060000,0.0000000,0.3468941,-0.3979434
8.8510040,0.0230000,0.0000000,0.3195411,-0.8462431
8.8999990,0.0380000,0.0000000,0.2634967,-1.5032050
8.9500090,0.0490000,0.0000000,0.1699793,-2.0290152
9.0000000,0.0550000,0.0000000,0.0605992,-2.0975403
9.0509810,0.0550000,0.0000000,-0.0416326,-2.0088046
9.0999750,0.0510000,0.0000000,-0.1402174,-2.0037112
9.1499760,0.0410000,0.0000000,-0.2399728,-1.5979384
9.1999840,0.0270000,0.0000000,-0.3000200,-1.0009342
9.2499720,0.0110000,0.0000000,-0.3400702,-0.6008022
9.2999630,-0.0070000,0.0000000,-0.3600864,0.0004200
9.3499480,-0.0250000,0.0000000,-0.3400330,0.8006241
9.3999560,-0.0410000,0.0000000,-0.2800112,1.3875340
9.4499360,-0.0530000,0.0000000,-0.2013068,1.5999683
9.4989310,-0.0610000,0.0000000,-0.1217036,1.7218815
9.5499420,-0.0650000,0.0000000,-0.0287085,2.0009035
9.5999330,-0.0640000,0.0000000,0.0800324,2.0110947
9.6499150,-0.0570000,0.0000000,0.1723496,1.6960267
9.6989290,-0.0470000,0.0000000,0.2482217,1.4540946
9.7499150,-0.0320000,0.0000000,0.3173814,0.9002704
9.7998990,-0.0150000,0.0000000,0.3400272,0.1584669
9.8499070,0.0020000,0.0000000,0.3332127,-0.2998596
9.8988940,0.0180000,0.0000000,0.3106733,-0.8503005
9.9499020,0.0330000,0.0000000,0.2465772,-1.3952714
9.9998950,0.0430000,0.0000000,0.1700282,-1.5658548
10.0498840,0.0500000,0.0000000,0.0900202,-1.8004501
10.0998770,0.0520000,0.0000000,-0.0099860,-2.0004892
10.1498840,0.0490000,0.0000000,-0.1100287,-1.8733202
10.1998700,0.0410000,0.0000000,-0.1973102,-1.6015579
10.2508630,0.0290000,0.0000000,-0.2714583,-1.2129544
10.2998550,0.0140000,0.0000000,-0.3195336,-0.6329952
10.3508390,-0.0030000,0.0000000,-0.3333269,-0.0611819
10.3988550,-0.0190000,0.0000000,-0.3267972,0.5272787
10.4488380,-0.0350000,0.0000000,-0.2800832,1.0854844
10.4988270,-0.0470000,0.0000000,-0.2182773,1.4087333
10.5498320,-0.0570000,0.0000000,-0.1374559,1.7687754
10.5998160,-0.0610000,0.0000000,-0.0400228,1.8749221
10.6498250,-0.0610000,0.0000000,0.0500195,1.8005482
10.6998150,-0.0560000,0.0000000,0.1400302,1.7007343
10.7498040,-0.0470000,0.0000000,0.2200574,1.4001802
10.7997900,-0.0340000,0.0000000,0.2800144,0.8677097
10.8497960,-0.0190000,0.0000000,0.3068082,0.4010832
10.9007860,-0.0030000,0.0000000,0.3202545,-0.0451747
10.9497950,0.0130000,0.0000000,0.3034908,-0.7018429
10.9997860,0.0270000,0.0000000,0.2500583,-1.2347433
11.0497700,0.0380000,0.0000000,0.1800496,-1.5026611
11.0997620,0.0450000,0.0000000,0.0998266,-1.7016161
11.1507710,0.0480000,0.0000000,0.0079856,-1.9016586
11.1997580,0.0460000,0.0000000,-0.0899306,-1.7803002
11.2497450,0.0390000,0.0000000,-0.1677763,-1.5054087
11.3007450,0.0290000,0.0000000,-0.2418511,-1.2420408
11.3497280,0.0150000,0.0000000,-0.2927913,-0.6640765
11.3997420,0.0000000,0.0000000,-0.3068094,-0.0707272
11.4507240,-0.0160000,0.0000000,-0.2995248,0.3461233
11.4997140,-0.0300000,0.0000000,-0.2730007,0.6990532
11.5497210,-0.0430000,0.0000000,-0.2299967,1.3299623
11.5997110,-0.0530000,0.0000000,-0.1400244,1.8001080
11.6497190,-0.0570000,0.0000000,-0.0499895,1.6874558
11.6997020,-0.0580000,0.0000000,0.0287116,1.6977424
11.7507060,-0.0540000,0.0000000,0.1217145,1.5939956
11.7996970,-0.0460000,0.0000000,0.1890087,1.2696677
11.8506780,-0.0350000,0.0000000,0.2482237,0.9252149
11.9006690,-0.0210000,0.0000000,0.2828929,0.4451840
11.9496750,-0.0070000,0.0000000,0.2927799,0.0749388
11.9996710,0.0080000,0.0000000,0.2900583,-0.4274588
12.0496540,0.0220000,0.0000000,0.2500527,-1.1005682
12.0996540,0.0330000,0.0000000,0.1800100,-1.4983518
12.1496440,0.0400000,0.0000000,0.1002345,-1.5011894
12.1986340,0.0430000,0.0000000,0.0312349,-1.6006797
12.2496370,0.0430000,0.0000000,-0.0606121,-1.6932183
12.2996280,0.0370000,0.0000000,-0.1399856,-1.4639791
12.3496410,0.0290000,0.0000000,-0.2070105,-1.2949894
12.4006260,0.0160000,0.0000000,-0.2706883,-0.7690974
12.4496140,0.0020000,0.0000000,-0.2857784,-0.1244136
12.4986040,-0.0120000,0.0000000,-0.2828774,0.2564567
12.5486180,-0.0260000,0.0000000,-0.2599800,0.7428703
12.5986080,-0.0380000,0.0000000,-0.2086011,1.1074296
12.6495910,-0.0470000,0.0000000,-0.1479998,1.2751427
12.6995800,-0.0530000,0.0000000,-0.0800176,1.5693370
12.7495870,-0.0550000,0.0000000,0.0089352,1.7807853
12.8005810,-0.0520000,0.0000000,0.0998474,1.6150446
12.8505630,-0.0450000,0.0000000,0.1723521,1.2555421
12.8995760,-0.0350000,0.0000000,0.2245142,0.8170613
