Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-07-12
Time (HH:MM:SS):	13:11:02
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.1
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	Yes
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          770 	
        2	          792 	
        3	          795 	
        4	          756 	
        5	          789 	
        6	          759 	
        7	          777 	
        8	          788 	
        9	          786 	
       10	          811 	
       11	          812 	
       12	          801 	
       13	          784 	
       14	          774 	
       15	          813 	
       16	          809 	
       17	          789 	
       18	          790 	
       19	          753 	
       20	          849 	
       21	          768 	
       22	          784 	
       23	          838 	
       24	          820 	
       25	          805 	
       26	          789 	
       27	          796 	
       28	          801 	
       29	          778 	
       30	          766 	
       31	          808 	
       32	          780 	
       33	          824 	
       34	          820 	
       35	          799 	
       36	          789 	
       37	          834 	
       38	          844 	
       39	          796 	
       40	          808 	
       41	          835 	
       42	          808 	
       43	          783 	
       44	          830 	
       45	          834 	
       46	          788 	
       47	          807 	
       48	          789 	
       49	          738 	
       50	          813 	
       51	          805 	
       52	          824 	
       53	          773 	
       54	          807 	
       55	          817 	
       56	          816 	
       57	          845 	
       58	          790 	
       59	          871 	
       60	          783 	
       61	          800 	
       62	          810 	
       63	          781 	
       64	          766 	
       65	          778 	
       66	          758 	
       67	          763 	
       68	          789 	
       69	          768 	
       70	          788 	
       71	          770 	
       72	          807 	
       73	          832 	
       74	          817 	
       75	          786 	
       76	          769 	
       77	          782 	
       78	          776 	
       79	          872 	
       80	          824 	
       81	          850 	
       82	          806 	
       83	          813 	
       84	          790 	
       85	          781 	
       86	          778 	
       87	          787 	
       88	          815 	
       89	          780 	
       90	          790 	
       91	          827 	
       92	          756 	
       93	          780 	
       94	          821 	
       95	          825 	
       96	          789 	
       97	          812 	
       98	          764 	
       99	          813 	
      100	          813 	
      101	          787 	
      102	          785 	
      103	          722 	
      104	          800 	
      105	          820 	
      106	          813 	
      107	          790 	
      108	          769 	
      109	          792 	
      110	          759 	
      111	          752 	
      112	          766 	
      113	          803 	
      114	          843 	
      115	          819 	
      116	          835 	
      117	          823 	
      118	          802 	
      119	          801 	
      120	          807 	
      121	          766 	
      122	          818 	
      123	          724 	
      124	          825 	
      125	          787 	
      126	          817 	
      127	          806 	
      128	          771 	
      129	          769 	
      130	          837 	
      131	          760 	
      132	          796 	
      133	          829 	
      134	          796 	
      135	          768 	
      136	          788 	
      137	          784 	
      138	          722 	
      139	          798 	
      140	          797 	
      141	          870 	
      142	          792 	
      143	          815 	
      144	          810 	
      145	          766 	
      146	          781 	
      147	          779 	
      148	          771 	
      149	          826 	
      150	          751 	
      151	          832 	
      152	          768 	
      153	          736 	
      154	          777 	
      155	          808 	
      156	          735 	
      157	          793 	
      158	          806 	
      159	          737 	
      160	          762 	
      161	          784 	
      162	          771 	
      163	          802 	
      164	          807 	
      165	          772 	
      166	          746 	
      167	          774 	
      168	          878 	
      169	          813 	
      170	          790 	
      171	          839 	
      172	          812 	
      173	          804 	
      174	          761 	
      175	          755 	
      176	          792 	
      177	          749 	
      178	          843 	
      179	          766 	
      180	          760 	
      181	          745 	
      182	          790 	
      183	          760 	
      184	          691 	
      185	          768 	
      186	          797 	
      187	          778 	
      188	          749 	
      189	          834 	
      190	          782 	
      191	          734 	
      192	          828 	
      193	          796 	
      194	          777 	
      195	          813 	
      196	          753 	
      197	          727 	
      198	          777 	
      199	          762 	
      200	          771 	
      201	          787 	
      202	          748 	
      203	          813 	
      204	          793 	
      205	          711 	
      206	          840 	
