Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-07-12
Time (HH:MM:SS):	13:07:17
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.1
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	Yes
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	         3177 	
        2	         3175 	
        3	         3090 	
        4	         3043 	
        5	         3165 	
        6	         3099 	
        7	         3194 	
        8	         3144 	
        9	         3136 	
       10	         3135 	
       11	         3230 	
       12	         3153 	
       13	         3056 	
       14	         3139 	
       15	         3159 	
       16	         3165 	
       17	         3242 	
       18	         3166 	
       19	         3225 	
       20	         3160 	
       21	         3243 	
       22	         3181 	
       23	         3262 	
       24	         3186 	
       25	         3190 	
       26	         3218 	
       27	         3233 	
       28	         3198 	
       29	         3163 	
       30	         3180 	
       31	         3162 	
       32	         3100 	
       33	         3188 	
       34	         3167 	
       35	         3264 	
       36	         3359 	
       37	         3282 	
       38	         3274 	
       39	         3065 	
       40	         3190 	
       41	         3249 	
       42	         3193 	
       43	         3188 	
       44	         3143 	
       45	         3108 	
       46	         3073 	
       47	         3184 	
       48	         3061 	
       49	         3176 	
       50	         3176 	
       51	         3099 	
       52	         3147 	
       53	         3202 	
       54	         3163 	
       55	         3167 	
       56	         3092 	
       57	         3079 	
       58	         3038 	
       59	         3178 	
       60	         3150 	
       61	         3134 	
       62	         3231 	
       63	         3024 	
       64	         3214 	
       65	         3155 	
       66	         3102 	
       67	         3301 	
       68	         3078 	
       69	         3180 	
       70	         3099 	
       71	         3103 	
       72	         3153 	
       73	         3128 	
       74	         3187 	
       75	         3101 	
       76	         3189 	
       77	         3184 	
       78	         3148 	
       79	         3086 	
       80	         3112 	
       81	         3230 	
       82	         3133 	
       83	         3184 	
       84	         3080 	
       85	         3162 	
       86	         3223 	
       87	         3178 	
       88	         3160 	
       89	         3229 	
       90	         3235 	
       91	         3116 	
       92	         3118 	
       93	         3118 	
       94	         3170 	
       95	         3196 	
       96	         3276 	
       97	         3116 	
       98	         3286 	
       99	         3153 	
      100	         2990 	
      101	         3155 	
      102	         3072 	
      103	         3129 	
      104	         3190 	
      105	         3156 	
      106	         3110 	
      107	         3212 	
      108	         3139 	
      109	         3253 	
      110	         3136 	
      111	         3105 	
      112	         3202 	
      113	         3043 	
      114	         3098 	
      115	         3129 	
      116	         3278 	
      117	         3198 	
      118	         3087 	
      119	         3196 	
      120	         3228 	
      121	         3162 	
      122	         3147 	
      123	         3227 	
      124	         3122 	
      125	         3093 	
      126	         3141 	
      127	         3148 	
      128	         3077 	
      129	         3204 	
      130	         3130 	
      131	         3114 	
      132	         3237 	
      133	         3124 	
      134	         3236 	
      135	         3146 	
      136	         3029 	
      137	         3104 	
      138	         3186 	
      139	         2997 	
      140	         3113 	
      141	         3097 	
      142	         3191 	
      143	         3090 	
      144	         3270 	
      145	         3220 	
      146	         3239 	
      147	         3254 	
      148	         3150 	
      149	         3187 	
      150	         3048 	
      151	         3132 	
      152	         3222 	
      153	         3087 	
      154	         3085 	
      155	         3134 	
      156	         3173 	
      157	         3088 	
      158	         3053 	
      159	         3088 	
      160	         3236 	
      161	         3134 	
      162	         3108 	
      163	         3089 	
      164	         3146 	
      165	         3106 	
      166	         3136 	
      167	         3159 	
      168	         3119 	
      169	         3157 	
      170	         3135 	
      171	         3122 	
      172	         3115 	
      173	         3192 	
      174	         3129 	
      175	         3113 	
      176	         3139 	
      177	         3152 	
      178	         3151 	
      179	         3120 	
      180	         3068 	
      181	         3139 	
      182	         3048 	
      183	         3153 	
      184	         3213 	
      185	         3095 	
      186	         3120 	
      187	         3123 	
      188	         3143 	
      189	         3048 	
      190	         3074 	
      191	         3094 	
      192	         3110 	
      193	         3193 	
      194	         3230 	
      195	         3130 	
      196	         3135 	
      197	         3079 	
      198	         3157 	
      199	         3090 	
      200	         3135 	
      201	         3111 	
      202	         3170 	
