Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-07-12
Time (HH:MM:SS):	11:10:30
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.1
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	Yes
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	       162502 	
        2	       162403 	
        3	       162498 	
        4	       162590 	
        5	       162207 	
        6	       162128 	
        7	       162794 	
        8	       161941 	
        9	       162681 	
       10	       162099 	
       11	       162189 	
       12	       162516 	
       13	       162008 	
       14	       162205 	
       15	       162192 	
       16	       161953 	
       17	       162389 	
       18	       162192 	
       19	       162438 	
       20	       162296 	
       21	       162219 	
       22	       162434 	
       23	       163426 	
       24	       161902 	
       25	       161696 	
       26	       162516 	
       27	       162196 	
       28	       162553 	
       29	       162584 	
       30	       162905 	
       31	       162038 	
       32	       161722 	
       33	       162558 	
       34	       161563 	
       35	       161845 	
       36	       162139 	
       37	       162169 	
       38	       162508 	
       39	       162429 	
       40	       162899 	
       41	       161734 	
       42	       162693 	
       43	       161462 	
       44	       161443 	
       45	       162347 	
       46	       162508 	
       47	       162487 	
       48	       161883 	
       49	       162404 	
       50	       162192 	
       51	       162087 	
       52	       161677 	
       53	       162005 	
       54	       162076 	
       55	       162049 	
       56	       162232 	
       57	       162220 	
       58	       162173 	
       59	       162518 	
       60	       162293 	
       61	       162440 	
       62	       161969 	
       63	       162109 	
       64	       162561 	
       65	       161989 	
       66	       162377 	
       67	       161584 	
       68	       161860 	
       69	       161869 	
       70	       162406 	
       71	       161903 	
       72	       162245 	
       73	       162255 	
       74	       162375 	
       75	       162215 	
       76	       161900 	
       77	       163329 	
       78	       162923 	
       79	       162254 	
       80	       161693 	
       81	       162430 	
       82	       162378 	
       83	       162305 	
       84	       162778 	
       85	       162371 	
       86	       162462 	
       87	       161959 	
       88	       162563 	
       89	       162149 	
       90	       161165 	
       91	       161857 	
       92	       162735 	
       93	       162419 	
       94	       162544 	
       95	       162736 	
       96	       163141 	
       97	       162414 	
       98	       162052 	
       99	       162596 	
      100	       162759 	
      101	       162250 	
      102	       162488 	
      103	       161647 	
      104	       162512 	
      105	       161941 	
      106	       162330 	
      107	       162291 	
      108	       162065 	
      109	       161941 	
      110	       162058 	
      111	       162205 	
      112	       162298 	
      113	       162108 	
      114	       162454 	
      115	       162476 	
      116	       162282 	
      117	       163291 	
      118	       162189 	
      119	       162153 	
      120	       161561 	
      121	       162196 	
      122	       162177 	
      123	       162361 	
      124	       161878 	
      125	       162223 	
      126	       162588 	
      127	       162328 	
      128	       161885 	
      129	       162383 	
      130	       162375 	
      131	       162423 	
      132	       162653 	
      133	       162545 	
      134	       162439 	
      135	       162302 	
      136	       162678 	
      137	       162525 	
      138	       162395 	
      139	       162111 	
      140	       162948 	
      141	       162728 	
      142	       162053 	
      143	       161993 	
      144	       161871 	
      145	       162664 	
      146	       162219 	
      147	       162553 	
      148	       162549 	
      149	       161770 	
      150	       161810 	
      151	       161512 	
      152	       162065 	
      153	       162257 	
      154	       162864 	
      155	       162437 	
      156	       162008 	
      157	       161573 	
      158	       162025 	
      159	       161836 	
      160	       162860 	
      161	       161850 	
      162	       162139 	
      163	       162802 	
      164	       161791 	
      165	       162490 	
      166	       162784 	
      167	       161586 	
      168	       162428 	
      169	       161929 	
      170	       162557 	
      171	       162426 	
      172	       161946 	
      173	       161715 	
      174	       161836 	
      175	       162260 	
      176	       162370 	
      177	       162282 	
      178	       162307 	
      179	       161928 	
      180	       161019 	
      181	       162126 	
      182	       161919 	
      183	       162579 	
      184	       161776 	
      185	       161721 	
      186	       162191 	
      187	       162203 	
      188	       161975 	
      189	       162861 	
      190	       162904 	
      191	       162608 	
      192	       162323 	
      193	       162336 	
      194	       162058 	
      195	       162347 	
      196	       162289 	
      197	       162146 	
      198	       162381 	
      199	       161314 	
      200	       161877 	
      201	       162418 	
      202	       162177 	
      203	       162408 	
      204	       162898 	
      205	       162823 	
      206	       162554 	
      207	       162541 	
      208	       162722 	
