Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-07-12
Time (HH:MM:SS):	11:16:05
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.1
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	Yes
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	        48216 	
        2	        48638 	
        3	        48814 	
        4	        48889 	
        5	        48408 	
        6	        48703 	
        7	        48711 	
        8	        48930 	
        9	        48900 	
       10	        49059 	
       11	        48920 	
       12	        48982 	
       13	        48831 	
       14	        48738 	
       15	        48640 	
       16	        48907 	
       17	        48994 	
       18	        48914 	
       19	        48938 	
       20	        48942 	
       21	        48530 	
       22	        48583 	
       23	        48652 	
       24	        49161 	
       25	        48209 	
       26	        48384 	
       27	        49087 	
       28	        48830 	
       29	        48622 	
       30	        48897 	
       31	        48596 	
       32	        48510 	
       33	        48661 	
       34	        48962 	
       35	        48724 	
       36	        48470 	
       37	        48972 	
       38	        48949 	
       39	        49154 	
       40	        48184 	
       41	        48865 	
       42	        48499 	
       43	        48434 	
       44	        48206 	
       45	        49079 	
       46	        48734 	
       47	        48663 	
       48	        49052 	
       49	        48824 	
       50	        48897 	
       51	        48500 	
       52	        48912 	
       53	        49228 	
       54	        48757 	
       55	        48474 	
       56	        48397 	
       57	        48187 	
       58	        48586 	
       59	        48856 	
       60	        49063 	
       61	        48747 	
       62	        48680 	
       63	        48617 	
       64	        48816 	
       65	        48713 	
       66	        48372 	
       67	        48446 	
       68	        49032 	
       69	        48504 	
       70	        48503 	
       71	        48811 	
       72	        48532 	
       73	        48908 	
       74	        48850 	
       75	        48716 	
       76	        48851 	
       77	        48624 	
       78	        48549 	
       79	        48787 	
       80	        48688 	
       81	        48449 	
       82	        48854 	
       83	        49074 	
       84	        49064 	
       85	        48670 	
       86	        48671 	
       87	        49041 	
       88	        48588 	
       89	        48741 	
       90	        49021 	
       91	        48763 	
       92	        48616 	
       93	        48831 	
       94	        48771 	
       95	        49218 	
       96	        48560 	
       97	        48633 	
       98	        48620 	
       99	        48682 	
      100	        48909 	
      101	        48960 	
      102	        48844 	
      103	        48640 	
      104	        48784 	
      105	        48618 	
      106	        48481 	
      107	        48580 	
      108	        48641 	
      109	        48513 	
      110	        49033 	
      111	        48801 	
      112	        48638 	
      113	        48968 	
      114	        48378 	
      115	        48800 	
      116	        48656 	
      117	        48692 	
      118	        49422 	
      119	        48647 	
      120	        48807 	
      121	        49006 	
      122	        48559 	
      123	        48892 	
      124	        48826 	
      125	        48901 	
      126	        48834 	
      127	        48798 	
      128	        48804 	
      129	        49074 	
      130	        48814 	
      131	        48711 	
      132	        48790 	
      133	        49041 	
      134	        48528 	
      135	        48567 	
      136	        48914 	
      137	        48069 	
      138	        48862 	
      139	        48914 	
      140	        48703 	
      141	        48369 	
      142	        48541 	
      143	        49086 	
      144	        48268 	
      145	        48961 	
      146	        48874 	
      147	        48929 	
      148	        49239 	
      149	        48901 	
      150	        48928 	
      151	        48821 	
      152	        48854 	
      153	        48588 	
      154	        48761 	
      155	        48655 	
      156	        48386 	
      157	        48480 	
      158	        49078 	
      159	        48813 	
      160	        48825 	
      161	        48682 	
      162	        48823 	
      163	        49109 	
      164	        48898 	
      165	        48839 	
      166	        49119 	
      167	        48468 	
      168	        48510 	
      169	        48872 	
      170	        48709 	
      171	        48819 	
      172	        48932 	
      173	        48866 	
      174	        48708 	
      175	        49079 	
      176	        48618 	
      177	        48879 	
      178	        48639 	
      179	        48232 	
      180	        48627 	
      181	        48694 	
      182	        48606 	
      183	        49063 	
      184	        48376 	
      185	        48940 	
      186	        48939 	
      187	        49085 	
      188	        49013 	
      189	        48994 	
      190	        48643 	
      191	        48514 	
      192	        48341 	
      193	        48979 	
      194	        48737 	
      195	        48449 	
      196	        48774 	
      197	        48667 	
      198	        48555 	
      199	        48702 	
      200	        48742 	
      201	        48560 	
      202	        48704 	
      203	        48684 	
      204	        48635 	
