Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-07-12
Time (HH:MM:SS):	11:12:53
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.1
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	Yes
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	       182347 	
        2	       183080 	
        3	       183107 	
        4	       182389 	
        5	       183591 	
        6	       183320 	
        7	       182453 	
        8	       182938 	
        9	       182282 	
       10	       183083 	
       11	       182889 	
       12	       183139 	
       13	       183138 	
       14	       182762 	
       15	       182418 	
       16	       182839 	
       17	       182705 	
       18	       182374 	
       19	       183393 	
       20	       183217 	
       21	       182479 	
       22	       183321 	
       23	       182377 	
       24	       182509 	
       25	       182612 	
       26	       182380 	
       27	       182373 	
       28	       182270 	
       29	       182343 	
       30	       182620 	
       31	       182184 	
       32	       182291 	
       33	       182697 	
       34	       182192 	
       35	       182708 	
       36	       183338 	
       37	       182658 	
       38	       182633 	
       39	       182856 	
       40	       182639 	
       41	       182461 	
       42	       182548 	
       43	       182883 	
       44	       182297 	
       45	       182790 	
       46	       183375 	
       47	       182843 	
       48	       182408 	
       49	       182459 	
       50	       182761 	
       51	       183099 	
       52	       182870 	
       53	       182550 	
       54	       183402 	
       55	       182450 	
       56	       183070 	
       57	       182591 	
       58	       181643 	
       59	       182697 	
       60	       182877 	
       61	       182584 	
       62	       182977 	
       63	       182810 	
       64	       181772 	
       65	       182149 	
       66	       183750 	
       67	       182759 	
       68	       182904 	
       69	       182615 	
       70	       183232 	
       71	       182773 	
       72	       182867 	
       73	       182637 	
       74	       183169 	
       75	       183264 	
       76	       183230 	
       77	       183129 	
       78	       183122 	
       79	       182397 	
       80	       182790 	
       81	       182803 	
       82	       182777 	
       83	       182929 	
       84	       182754 	
       85	       181688 	
       86	       182967 	
       87	       181624 	
       88	       182891 	
       89	       182869 	
       90	       182689 	
       91	       182315 	
       92	       183073 	
       93	       183231 	
       94	       182525 	
       95	       183078 	
       96	       183239 	
       97	       181882 	
       98	       182357 	
       99	       182311 	
      100	       182770 	
      101	       182889 	
      102	       183053 	
      103	       183015 	
      104	       182241 	
      105	       182750 	
      106	       182783 	
      107	       182474 	
      108	       182969 	
      109	       183393 	
      110	       182884 	
      111	       182606 	
      112	       182707 	
      113	       182938 	
      114	       182604 	
      115	       182641 	
      116	       183801 	
      117	       182941 	
      118	       182263 	
      119	       183266 	
      120	       182450 	
      121	       182612 	
      122	       182425 	
      123	       182810 	
      124	       182385 	
      125	       182018 	
      126	       182633 	
      127	       182464 	
      128	       183283 	
      129	       182662 	
      130	       183153 	
      131	       182882 	
      132	       182386 	
      133	       183030 	
      134	       182870 	
      135	       182848 	
      136	       182777 	
      137	       182692 	
      138	       182971 	
      139	       183012 	
      140	       182530 	
      141	       182967 	
      142	       182507 	
      143	       182636 	
      144	       182994 	
      145	       182562 	
      146	       182760 	
      147	       182162 	
      148	       182521 	
      149	       182253 	
      150	       182703 	
      151	       182610 	
      152	       181945 	
      153	       182418 	
      154	       182395 	
      155	       182589 	
      156	       182497 	
      157	       183167 	
      158	       182045 	
      159	       182591 	
      160	       182794 	
      161	       181974 	
      162	       182423 	
      163	       182119 	
      164	       182904 	
      165	       182501 	
      166	       182538 	
      167	       182468 	
      168	       182190 	
      169	       182914 	
      170	       183058 	
      171	       182813 	
      172	       183010 	
      173	       182568 	
      174	       182073 	
      175	       182390 	
      176	       183266 	
      177	       182831 	
      178	       183137 	
      179	       183478 	
      180	       181536 	
      181	       183029 	
      182	       182032 	
      183	       182460 	
      184	       182390 	
      185	       182869 	
      186	       183184 	
      187	       182494 	
      188	       182446 	
      189	       182470 	
      190	       182414 	
      191	       182464 	
      192	       183289 	
      193	       182536 	
      194	       182572 	
      195	       182590 	
      196	       183359 	
      197	       182663 	
      198	       183510 	
      199	       182686 	
      200	       182893 	
      201	       182500 	
      202	       183237 	
      203	       183124 	
      204	       182354 	
