Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-07-12
Time (HH:MM:SS):	11:14:25
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.1
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	Yes
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	       114343 	
        2	       114010 	
        3	       113916 	
        4	       114081 	
        5	       112977 	
        6	       113936 	
        7	       113651 	
        8	       114039 	
        9	       114103 	
       10	       114283 	
       11	       114070 	
       12	       113805 	
       13	       114414 	
       14	       114529 	
       15	       113708 	
       16	       114314 	
       17	       113743 	
       18	       114645 	
       19	       113510 	
       20	       113624 	
       21	       113585 	
       22	       113794 	
       23	       113864 	
       24	       113967 	
       25	       114250 	
       26	       113516 	
       27	       114001 	
       28	       113887 	
       29	       113352 	
       30	       113790 	
       31	       113803 	
       32	       113857 	
       33	       114215 	
       34	       113910 	
       35	       114342 	
       36	       114076 	
       37	       114769 	
       38	       113670 	
       39	       114166 	
       40	       113593 	
       41	       113909 	
       42	       113896 	
       43	       113952 	
       44	       113594 	
       45	       114042 	
       46	       113588 	
       47	       114038 	
       48	       113705 	
       49	       114044 	
       50	       114144 	
       51	       114341 	
       52	       114378 	
       53	       114465 	
       54	       114234 	
       55	       113632 	
       56	       114205 	
       57	       113877 	
       58	       113745 	
       59	       113323 	
       60	       114066 	
       61	       114371 	
       62	       114563 	
       63	       114063 	
       64	       114472 	
       65	       114229 	
       66	       114489 	
       67	       113646 	
       68	       113844 	
       69	       113530 	
       70	       113180 	
       71	       114083 	
       72	       114031 	
       73	       114543 	
       74	       113628 	
       75	       113842 	
       76	       113468 	
       77	       113698 	
       78	       113750 	
       79	       114148 	
       80	       114014 	
       81	       113837 	
       82	       113979 	
       83	       114040 	
       84	       113945 	
       85	       114112 	
       86	       114277 	
       87	       113913 	
       88	       113895 	
       89	       114236 	
       90	       113813 	
       91	       114295 	
       92	       113961 	
       93	       113784 	
       94	       113459 	
       95	       113842 	
       96	       114270 	
       97	       113884 	
       98	       113982 	
       99	       114075 	
      100	       113708 	
      101	       113623 	
      102	       114343 	
      103	       113956 	
      104	       114373 	
      105	       114050 	
      106	       114208 	
      107	       114298 	
      108	       113745 	
      109	       114300 	
      110	       113954 	
      111	       114030 	
      112	       113915 	
      113	       114041 	
      114	       114225 	
      115	       114050 	
      116	       114036 	
      117	       114358 	
      118	       113697 	
      119	       113506 	
      120	       113755 	
      121	       114205 	
      122	       114358 	
      123	       113946 	
      124	       113560 	
      125	       114487 	
      126	       113615 	
      127	       113989 	
      128	       114197 	
      129	       113744 	
      130	       114013 	
      131	       114077 	
      132	       113973 	
      133	       113792 	
      134	       113449 	
      135	       113743 	
      136	       113888 	
      137	       113457 	
      138	       114027 	
      139	       114031 	
      140	       114507 	
      141	       114370 	
      142	       114491 	
      143	       113896 	
      144	       113652 	
      145	       114436 	
      146	       113816 	
      147	       114489 	
      148	       114135 	
      149	       113876 	
      150	       113518 	
      151	       113902 	
      152	       114022 	
      153	       113541 	
      154	       113715 	
      155	       114075 	
      156	       114000 	
      157	       113913 	
      158	       113521 	
      159	       113957 	
      160	       113656 	
      161	       113581 	
      162	       113977 	
      163	       113812 	
      164	       114471 	
      165	       113890 	
      166	       113656 	
      167	       113933 	
      168	       114543 	
      169	       114249 	
      170	       114616 	
      171	       113583 	
      172	       113957 	
      173	       113671 	
      174	       114371 	
      175	       114114 	
      176	       113255 	
      177	       113969 	
      178	       113866 	
      179	       113366 	
      180	       113818 	
      181	       114295 	
      182	       114356 	
      183	       113534 	
      184	       113575 	
      185	       113712 	
      186	       114376 	
      187	       114307 	
      188	       113737 	
      189	       114122 	
      190	       114404 	
      191	       114028 	
      192	       113781 	
      193	       113938 	
      194	       113621 	
      195	       114167 	
      196	       114156 	
      197	       113883 	
      198	       114043 	
      199	       114310 	
      200	       113783 	
      201	       114118 	
      202	       114193 	
      203	       113587 	
      204	       114229 	
