Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-07-12
Time (HH:MM:SS):	11:08:02
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.1
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	Yes
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	        21879 	
        2	        22157 	
        3	        21996 	
        4	        21914 	
        5	        21879 	
        6	        22008 	
        7	        22104 	
        8	        21950 	
        9	        21711 	
       10	        21748 	
       11	        22239 	
       12	        21957 	
       13	        21627 	
       14	        21842 	
       15	        22053 	
       16	        21849 	
       17	        21925 	
       18	        21836 	
       19	        22091 	
       20	        22090 	
       21	        22176 	
       22	        21503 	
       23	        21963 	
       24	        21790 	
       25	        21893 	
       26	        21939 	
       27	        21596 	
       28	        22111 	
       29	        22149 	
       30	        22234 	
       31	        22152 	
       32	        21663 	
       33	        22127 	
       34	        22217 	
       35	        22019 	
       36	        21997 	
       37	        21939 	
       38	        21807 	
       39	        21774 	
       40	        21973 	
       41	        22176 	
       42	        21767 	
       43	        22031 	
       44	        21827 	
       45	        21907 	
       46	        21785 	
       47	        21832 	
       48	        21745 	
       49	        22077 	
       50	        21733 	
       51	        21719 	
       52	        22117 	
       53	        21613 	
       54	        22078 	
       55	        21842 	
       56	        22008 	
       57	        21601 	
       58	        21911 	
       59	        21978 	
       60	        21866 	
       61	        21761 	
       62	        21620 	
       63	        22080 	
       64	        22122 	
       65	        21994 	
       66	        21871 	
       67	        22088 	
       68	        22212 	
       69	        21966 	
       70	        21841 	
       71	        21763 	
       72	        21680 	
       73	        22044 	
       74	        22000 	
       75	        21966 	
       76	        22026 	
       77	        21674 	
       78	        21878 	
       79	        21716 	
       80	        22251 	
       81	        21841 	
       82	        21833 	
       83	        21880 	
       84	        22099 	
       85	        21746 	
       86	        21954 	
       87	        21749 	
       88	        21872 	
       89	        21908 	
       90	        21936 	
       91	        21919 	
       92	        21884 	
       93	        21775 	
       94	        21583 	
       95	        21854 	
       96	        22231 	
       97	        22110 	
       98	        21606 	
       99	        21900 	
      100	        21837 	
      101	        22129 	
      102	        21863 	
      103	        22005 	
      104	        21956 	
      105	        22265 	
      106	        21903 	
      107	        21927 	
      108	        21879 	
      109	        22014 	
      110	        21869 	
      111	        21885 	
      112	        22106 	
      113	        22110 	
      114	        21835 	
      115	        21951 	
      116	        22070 	
      117	        21682 	
      118	        22114 	
      119	        21926 	
      120	        21946 	
      121	        21932 	
      122	        22082 	
      123	        21907 	
      124	        21810 	
      125	        22090 	
      126	        21995 	
      127	        21847 	
      128	        22132 	
      129	        21835 	
      130	        22258 	
      131	        21923 	
      132	        21647 	
      133	        21945 	
      134	        21897 	
      135	        21712 	
      136	        21655 	
      137	        21858 	
      138	        21690 	
      139	        21752 	
      140	        22061 	
      141	        22065 	
      142	        21543 	
      143	        22039 	
      144	        21828 	
      145	        21945 	
      146	        21997 	
      147	        22159 	
      148	        21924 	
      149	        22264 	
      150	        22044 	
      151	        21710 	
      152	        21929 	
      153	        21959 	
      154	        21924 	
      155	        21884 	
      156	        21960 	
      157	        22041 	
      158	        22025 	
      159	        22179 	
      160	        22219 	
      161	        21823 	
      162	        21981 	
      163	        22192 	
      164	        22091 	
      165	        22056 	
      166	        22082 	
      167	        21995 	
      168	        22192 	
      169	        22084 	
      170	        21942 	
      171	        21827 	
      172	        21899 	
      173	        21959 	
      174	        21766 	
      175	        21601 	
      176	        22037 	
      177	        21841 	
      178	        22050 	
      179	        21854 	
      180	        21867 	
      181	        21616 	
      182	        21982 	
      183	        21707 	
      184	        21965 	
      185	        21825 	
      186	        21966 	
      187	        21824 	
      188	        22136 	
      189	        21894 	
      190	        22102 	
      191	        22151 	
      192	        22167 	
      193	        21944 	
      194	        21920 	
      195	        21611 	
      196	        22251 	
      197	        21828 	
      198	        22047 	
      199	        22027 	
      200	        21903 	
      201	        21907 	
      202	        21670 	
      203	        21749 	
