Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-07-12
Time (HH:MM:SS):	11:09:40
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.1
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	Yes
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	       121676 	
        2	       121586 	
        3	       122029 	
        4	       122040 	
        5	       122067 	
        6	       122142 	
        7	       121542 	
        8	       122456 	
        9	       122567 	
       10	       121887 	
       11	       122241 	
       12	       122485 	
       13	       122013 	
       14	       121706 	
       15	       121789 	
       16	       121527 	
       17	       122640 	
       18	       121791 	
       19	       122286 	
       20	       122290 	
       21	       121596 	
       22	       121854 	
       23	       121513 	
       24	       121677 	
       25	       121630 	
       26	       122344 	
       27	       121737 	
       28	       121842 	
       29	       121967 	
       30	       122106 	
       31	       121942 	
       32	       121349 	
       33	       121686 	
       34	       122573 	
       35	       122241 	
       36	       122274 	
       37	       121594 	
       38	       121658 	
       39	       122353 	
       40	       121492 	
       41	       121850 	
       42	       122057 	
       43	       121942 	
       44	       121736 	
       45	       121992 	
       46	       121863 	
       47	       121835 	
       48	       122098 	
       49	       121479 	
       50	       122671 	
       51	       121538 	
       52	       122570 	
       53	       122104 	
       54	       122305 	
       55	       122227 	
       56	       122132 	
       57	       122473 	
       58	       122597 	
       59	       121907 	
       60	       121967 	
       61	       121883 	
       62	       121751 	
       63	       121857 	
       64	       121496 	
       65	       121816 	
       66	       121790 	
       67	       121984 	
       68	       121376 	
       69	       122630 	
       70	       121066 	
       71	       122072 	
       72	       121981 	
       73	       122449 	
       74	       121336 	
       75	       122273 	
       76	       122039 	
       77	       122042 	
       78	       122413 	
       79	       120937 	
       80	       121419 	
       81	       122158 	
       82	       121258 	
       83	       122402 	
       84	       122337 	
       85	       121879 	
       86	       121829 	
       87	       121556 	
       88	       122070 	
       89	       121490 	
       90	       121878 	
       91	       121326 	
       92	       121808 	
       93	       121773 	
       94	       121845 	
       95	       121126 	
       96	       121859 	
       97	       121452 	
       98	       120984 	
       99	       121906 	
      100	       121462 	
      101	       121845 	
      102	       121540 	
      103	       122094 	
      104	       122237 	
      105	       122101 	
      106	       121759 	
      107	       121604 	
      108	       121530 	
      109	       121737 	
      110	       121700 	
      111	       122239 	
      112	       121641 	
      113	       122146 	
      114	       121756 	
      115	       121672 	
      116	       121437 	
      117	       121457 	
      118	       121699 	
      119	       121429 	
      120	       121943 	
      121	       121636 	
      122	       121348 	
      123	       121868 	
      124	       121569 	
      125	       122493 	
      126	       122447 	
      127	       122165 	
      128	       121657 	
      129	       121088 	
      130	       121215 	
      131	       121474 	
      132	       121992 	
      133	       121837 	
      134	       121541 	
      135	       122077 	
      136	       121147 	
      137	       121215 	
      138	       121940 	
      139	       121784 	
      140	       121925 	
      141	       121581 	
      142	       121592 	
      143	       121749 	
      144	       122104 	
      145	       121674 	
      146	       121585 	
      147	       121495 	
      148	       121876 	
      149	       121438 	
      150	       122230 	
      151	       121621 	
      152	       121772 	
      153	       121824 	
      154	       121904 	
      155	       121708 	
      156	       121385 	
      157	       121388 	
      158	       121515 	
      159	       121744 	
      160	       121804 	
      161	       120913 	
      162	       122123 	
      163	       121296 	
      164	       121751 	
      165	       121519 	
      166	       121388 	
      167	       121966 	
      168	       122121 	
      169	       121769 	
      170	       121489 	
      171	       122015 	
      172	       121842 	
      173	       121595 	
      174	       121825 	
      175	       121340 	
      176	       121368 	
      177	       121308 	
      178	       121469 	
      179	       122029 	
      180	       121618 	
      181	       121552 	
      182	       121796 	
      183	       121659 	
      184	       121263 	
      185	       121393 	
      186	       121734 	
      187	       122010 	
      188	       121672 	
      189	       121832 	
      190	       122168 	
      191	       121889 	
      192	       122223 	
      193	       121272 	
      194	       121764 	
      195	       121813 	
      196	       122235 	
      197	       121695 	
      198	       121681 	
      199	       121885 	
      200	       121579 	
      201	       121839 	
      202	       121793 	
      203	       121743 	
      204	       121628 	
      205	       121140 	
