Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-07-12
Time (HH:MM:SS):	10:37:09
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.1
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	Yes
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          190 	
        2	          202 	
        3	          179 	
        4	          184 	
        5	          193 	
        6	          190 	
        7	          212 	
        8	          210 	
        9	          195 	
       10	          186 	
       11	          194 	
       12	          203 	
       13	          195 	
       14	          190 	
       15	          201 	
       16	          200 	
       17	          185 	
       18	          200 	
       19	          192 	
       20	          189 	
       21	          163 	
       22	          210 	
       23	          197 	
       24	          198 	
       25	          190 	
       26	          198 	
       27	          195 	
       28	          205 	
       29	          184 	
       30	          193 	
       31	          189 	
       32	          219 	
       33	          186 	
       34	          208 	
       35	          223 	
       36	          203 	
       37	          178 	
       38	          185 	
       39	          176 	
       40	          182 	
       41	          183 	
       42	          193 	
       43	          219 	
       44	          181 	
       45	          203 	
       46	          205 	
       47	          192 	
       48	          204 	
       49	          213 	
       50	          199 	
       51	          203 	
       52	          233 	
       53	          187 	
       54	          206 	
       55	          176 	
       56	          188 	
       57	          220 	
       58	          205 	
       59	          206 	
       60	          201 	
       61	          191 	
       62	          197 	
       63	          220 	
       64	          197 	
       65	          225 	
       66	          216 	
       67	          209 	
       68	          231 	
       69	          201 	
       70	          205 	
       71	          216 	
       72	          203 	
       73	          187 	
       74	          206 	
       75	          213 	
       76	          199 	
       77	          202 	
       78	          200 	
       79	          207 	
       80	          210 	
       81	          197 	
       82	          182 	
       83	          217 	
       84	          208 	
       85	          203 	
       86	          185 	
       87	          183 	
       88	          217 	
       89	          198 	
       90	          203 	
       91	          215 	
       92	          207 	
       93	          212 	
       94	          222 	
       95	          206 	
       96	          194 	
       97	          194 	
       98	          199 	
       99	          195 	
      100	          195 	
      101	          187 	
      102	          194 	
      103	          198 	
      104	          194 	
      105	          184 	
      106	          196 	
      107	          182 	
      108	          216 	
      109	          179 	
      110	          194 	
      111	          195 	
      112	          185 	
      113	          198 	
      114	          202 	
      115	          187 	
      116	          226 	
      117	          207 	
      118	          224 	
      119	          209 	
      120	          193 	
      121	          193 	
      122	          194 	
      123	          188 	
      124	          183 	
      125	          203 	
      126	          195 	
      127	          217 	
      128	          202 	
      129	          211 	
      130	          179 	
      131	          180 	
      132	          225 	
      133	          213 	
      134	          189 	
      135	          203 	
      136	          192 	
      137	          218 	
      138	          234 	
      139	          224 	
      140	          198 	
      141	          201 	
      142	          213 	
      143	          195 	
      144	          198 	
      145	          204 	
      146	          192 	
      147	          189 	
      148	          200 	
      149	          169 	
      150	          174 	
      151	          214 	
      152	          191 	
      153	          232 	
      154	          206 	
      155	          224 	
      156	          210 	
      157	          204 	
      158	          198 	
      159	          206 	
      160	          205 	
      161	          188 	
      162	          182 	
      163	          186 	
      164	          215 	
      165	          179 	
      166	          198 	
      167	          203 	
      168	          206 	
      169	          234 	
      170	          198 	
      171	          208 	
      172	          181 	
      173	          209 	
      174	          178 	
      175	          228 	
      176	          189 	
      177	          181 	
      178	          192 	
      179	          227 	
      180	          233 	
      181	          218 	
      182	          190 	
      183	          209 	
      184	          207 	
      185	          207 	
      186	          207 	
      187	          190 	
      188	          188 	
      189	          194 	
      190	          212 	
      191	          196 	
      192	          172 	
      193	          168 	
      194	          207 	
      195	          170 	
      196	          193 	
      197	          183 	
      198	          226 	
      199	          192 	
      200	          208 	
      201	          218 	
      202	          194 	
      203	          187 	
      204	          184 	
      205	          228 	
