Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-07-12
Time (HH:MM:SS):	10:35:38
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.1
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	Yes
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          188 	
        2	          200 	
        3	          187 	
        4	          200 	
        5	          184 	
        6	          202 	
        7	          203 	
        8	          185 	
        9	          199 	
       10	          197 	
       11	          162 	
       12	          193 	
       13	          198 	
       14	          210 	
       15	          206 	
       16	          179 	
       17	          177 	
       18	          200 	
       19	          208 	
       20	          203 	
       21	          181 	
       22	          195 	
       23	          178 	
       24	          220 	
       25	          223 	
       26	          199 	
       27	          172 	
       28	          199 	
       29	          205 	
       30	          187 	
       31	          203 	
       32	          210 	
       33	          188 	
       34	          169 	
       35	          193 	
       36	          206 	
       37	          195 	
       38	          189 	
       39	          185 	
       40	          200 	
       41	          188 	
       42	          190 	
       43	          184 	
       44	          223 	
       45	          192 	
       46	          188 	
       47	          212 	
       48	          205 	
       49	          179 	
       50	          180 	
       51	          198 	
       52	          196 	
       53	          183 	
       54	          194 	
       55	          193 	
       56	          184 	
       57	          198 	
       58	          201 	
       59	          220 	
       60	          173 	
       61	          221 	
       62	          208 	
       63	          189 	
       64	          194 	
       65	          204 	
       66	          197 	
       67	          196 	
       68	          195 	
       69	          208 	
       70	          209 	
       71	          192 	
       72	          167 	
       73	          210 	
       74	          220 	
       75	          207 	
       76	          180 	
       77	          189 	
       78	          202 	
       79	          207 	
       80	          187 	
       81	          181 	
       82	          208 	
       83	          186 	
       84	          206 	
       85	          171 	
       86	          181 	
       87	          212 	
       88	          202 	
       89	          218 	
       90	          200 	
       91	          213 	
       92	          198 	
       93	          208 	
       94	          186 	
       95	          192 	
       96	          172 	
       97	          216 	
       98	          189 	
       99	          202 	
      100	          182 	
      101	          180 	
      102	          205 	
      103	          190 	
      104	          181 	
      105	          173 	
      106	          184 	
      107	          179 	
      108	          188 	
      109	          186 	
      110	          207 	
      111	          210 	
      112	          214 	
      113	          218 	
      114	          216 	
      115	          190 	
      116	          206 	
      117	          203 	
      118	          196 	
      119	          188 	
      120	          175 	
      121	          176 	
      122	          202 	
      123	          228 	
      124	          192 	
      125	          213 	
      126	          205 	
      127	          191 	
      128	          166 	
      129	          186 	
      130	          184 	
      131	          197 	
      132	          214 	
      133	          181 	
      134	          189 	
      135	          199 	
      136	          205 	
      137	          189 	
      138	          199 	
      139	          206 	
      140	          223 	
      141	          186 	
      142	          183 	
      143	          175 	
      144	          226 	
      145	          189 	
      146	          174 	
      147	          208 	
      148	          203 	
      149	          185 	
      150	          216 	
      151	          206 	
      152	          189 	
      153	          190 	
      154	          225 	
      155	          205 	
      156	          183 	
      157	          191 	
      158	          195 	
      159	          177 	
      160	          198 	
      161	          189 	
      162	          207 	
      163	          190 	
      164	          220 	
      165	          191 	
      166	          196 	
      167	          203 	
      168	          188 	
      169	          227 	
      170	          185 	
      171	          175 	
      172	          179 	
      173	          192 	
      174	          206 	
      175	          197 	
      176	          176 	
      177	          208 	
      178	          190 	
      179	          204 	
      180	          202 	
      181	          183 	
      182	          204 	
      183	          221 	
      184	          191 	
      185	          196 	
      186	          202 	
      187	          181 	
      188	          201 	
      189	          220 	
      190	          203 	
      191	          185 	
      192	          187 	
      193	          173 	
      194	          214 	
      195	          196 	
      196	          186 	
      197	          204 	
      198	          182 	
      199	          190 	
      200	          195 	
      201	          209 	
      202	          197 	
      203	          186 	
      204	          181 	
      205	          198 	
      206	          186 	
