Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-07-12
Time (HH:MM:SS):	10:34:01
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.1
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	Yes
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          266 	
        2	          234 	
        3	          236 	
        4	          262 	
        5	          287 	
        6	          223 	
        7	          245 	
        8	          246 	
        9	          250 	
       10	          212 	
       11	          237 	
       12	          219 	
       13	          250 	
       14	          248 	
       15	          189 	
       16	          256 	
       17	          250 	
       18	          219 	
       19	          244 	
       20	          228 	
       21	          257 	
       22	          251 	
       23	          225 	
       24	          254 	
       25	          247 	
       26	          222 	
       27	          255 	
       28	          237 	
       29	          187 	
       30	          238 	
       31	          220 	
       32	          218 	
       33	          235 	
       34	          242 	
       35	          220 	
       36	          226 	
       37	          226 	
       38	          225 	
       39	          222 	
       40	          234 	
       41	          225 	
       42	          229 	
       43	          248 	
       44	          235 	
       45	          249 	
       46	          222 	
       47	          255 	
       48	          248 	
       49	          228 	
       50	          230 	
       51	          252 	
       52	          234 	
       53	          238 	
       54	          250 	
       55	          233 	
       56	          254 	
       57	          205 	
       58	          245 	
       59	          232 	
       60	          227 	
       61	          250 	
       62	          231 	
       63	          232 	
       64	          223 	
       65	          246 	
       66	          251 	
       67	          239 	
       68	          251 	
       69	          251 	
       70	          229 	
       71	          255 	
       72	          229 	
       73	          258 	
       74	          253 	
       75	          238 	
       76	          237 	
       77	          238 	
       78	          206 	
       79	          239 	
       80	          236 	
       81	          243 	
       82	          248 	
       83	          226 	
       84	          218 	
       85	          225 	
       86	          226 	
       87	          245 	
       88	          251 	
       89	          238 	
       90	          245 	
       91	          230 	
       92	          248 	
       93	          235 	
       94	          255 	
       95	          234 	
       96	          278 	
       97	          243 	
       98	          261 	
       99	          249 	
      100	          216 	
      101	          254 	
      102	          232 	
      103	          254 	
      104	          236 	
      105	          258 	
      106	          249 	
      107	          212 	
      108	          273 	
      109	          225 	
      110	          233 	
      111	          221 	
      112	          247 	
      113	          227 	
      114	          227 	
      115	          224 	
      116	          238 	
      117	          271 	
      118	          235 	
      119	          234 	
      120	          252 	
      121	          232 	
      122	          250 	
      123	          245 	
      124	          251 	
      125	          255 	
      126	          230 	
      127	          246 	
      128	          220 	
      129	          231 	
      130	          258 	
      131	          230 	
      132	          250 	
      133	          237 	
      134	          221 	
      135	          256 	
      136	          230 	
      137	          241 	
      138	          245 	
      139	          206 	
      140	          244 	
      141	          243 	
      142	          244 	
      143	          253 	
      144	          254 	
      145	          252 	
      146	          249 	
      147	          241 	
      148	          270 	
      149	          270 	
      150	          220 	
      151	          221 	
      152	          202 	
      153	          226 	
      154	          236 	
      155	          225 	
      156	          205 	
      157	          260 	
      158	          248 	
      159	          221 	
      160	          258 	
      161	          233 	
      162	          240 	
      163	          254 	
      164	          235 	
      165	          214 	
      166	          273 	
      167	          241 	
      168	          249 	
      169	          227 	
      170	          238 	
      171	          246 	
      172	          242 	
      173	          231 	
      174	          243 	
      175	          232 	
      176	          246 	
      177	          249 	
      178	          248 	
      179	          240 	
      180	          244 	
      181	          248 	
      182	          226 	
      183	          230 	
      184	          236 	
      185	          252 	
      186	          232 	
      187	          202 	
      188	          229 	
      189	          230 	
      190	          258 	
      191	          233 	
      192	          206 	
      193	          261 	
      194	          239 	
      195	          255 	
      196	          238 	
      197	          225 	
      198	          247 	
      199	          237 	
      200	          238 	
      201	          232 	
      202	          245 	
      203	          239 	
      204	          268 	
      205	          229 	
