Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-07-12
Time (HH:MM:SS):	10:30:37
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.1
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	Yes
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          262 	
        2	          284 	
        3	          261 	
        4	          278 	
        5	          258 	
        6	          256 	
        7	          286 	
        8	          248 	
        9	          259 	
       10	          224 	
       11	          229 	
       12	          250 	
       13	          255 	
       14	          268 	
       15	          252 	
       16	          265 	
       17	          257 	
       18	          255 	
       19	          267 	
       20	          244 	
       21	          250 	
       22	          263 	
       23	          261 	
       24	          279 	
       25	          244 	
       26	          267 	
       27	          259 	
       28	          275 	
       29	          260 	
       30	          258 	
       31	          292 	
       32	          275 	
       33	          253 	
       34	          259 	
       35	          246 	
       36	          277 	
       37	          249 	
       38	          230 	
       39	          236 	
       40	          250 	
       41	          232 	
       42	          260 	
       43	          259 	
       44	          264 	
       45	          279 	
       46	          235 	
       47	          251 	
       48	          270 	
       49	          251 	
       50	          255 	
       51	          260 	
       52	          258 	
       53	          229 	
       54	          249 	
       55	          237 	
       56	          279 	
       57	          241 	
       58	          253 	
       59	          237 	
       60	          223 	
       61	          242 	
       62	          242 	
       63	          242 	
       64	          272 	
       65	          266 	
       66	          257 	
       67	          270 	
       68	          253 	
       69	          282 	
       70	          272 	
       71	          261 	
       72	          293 	
       73	          247 	
       74	          275 	
       75	          258 	
       76	          267 	
       77	          243 	
       78	          275 	
       79	          230 	
       80	          260 	
       81	          245 	
       82	          243 	
       83	          267 	
       84	          263 	
       85	          275 	
       86	          266 	
       87	          255 	
       88	          251 	
       89	          255 	
       90	          246 	
       91	          249 	
       92	          232 	
       93	          256 	
       94	          269 	
       95	          278 	
       96	          229 	
       97	          262 	
       98	          246 	
       99	          284 	
      100	          260 	
      101	          280 	
      102	          236 	
      103	          279 	
      104	          253 	
      105	          240 	
      106	          246 	
      107	          235 	
      108	          263 	
      109	          249 	
      110	          240 	
      111	          273 	
      112	          260 	
      113	          274 	
      114	          279 	
      115	          259 	
      116	          265 	
      117	          267 	
      118	          281 	
      119	          258 	
      120	          247 	
      121	          271 	
      122	          249 	
      123	          253 	
      124	          235 	
      125	          256 	
      126	          260 	
      127	          275 	
      128	          252 	
      129	          266 	
      130	          236 	
      131	          261 	
      132	          276 	
      133	          238 	
      134	          283 	
      135	          256 	
      136	          253 	
      137	          265 	
      138	          259 	
      139	          231 	
      140	          254 	
      141	          263 	
      142	          263 	
      143	          283 	
      144	          242 	
      145	          251 	
      146	          250 	
      147	          272 	
      148	          248 	
      149	          239 	
      150	          244 	
      151	          250 	
      152	          230 	
      153	          263 	
      154	          263 	
      155	          257 	
      156	          258 	
      157	          239 	
      158	          254 	
      159	          242 	
      160	          270 	
      161	          261 	
      162	          265 	
      163	          232 	
      164	          248 	
      165	          265 	
      166	          237 	
      167	          256 	
      168	          294 	
      169	          252 	
      170	          264 	
      171	          281 	
      172	          242 	
      173	          264 	
      174	          267 	
      175	          259 	
      176	          246 	
      177	          269 	
      178	          223 	
      179	          264 	
      180	          272 	
      181	          271 	
      182	          258 	
      183	          277 	
      184	          233 	
      185	          274 	
      186	          261 	
      187	          249 	
      188	          273 	
      189	          263 	
      190	          248 	
      191	          255 	
      192	          263 	
      193	          249 	
      194	          229 	
      195	          243 	
      196	          259 	
      197	          257 	
      198	          259 	
      199	          225 	
      200	          242 	
      201	          258 	
      202	          256 	
      203	          258 	
      204	          283 	
      205	          287 	
      206	          247 	
