Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-07-12
Time (HH:MM:SS):	12:54:13
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.1
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	Yes
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	       693031 	
        2	       692476 	APD Saturated
        3	       693341 	APD Saturated
        4	       692132 	APD Saturated
        5	       692185 	APD Saturated
        6	       692710 	APD Saturated
        7	       691923 	APD Saturated
        8	       693487 	APD Saturated
        9	       693054 	APD Saturated
       10	       692157 	APD Saturated
       11	       693671 	APD Saturated
       12	       692847 	APD Saturated
       13	       692075 	APD Saturated
       14	       693287 	APD Saturated
       15	       692638 	APD Saturated
       16	       692931 	APD Saturated
       17	       692378 	APD Saturated
       18	       692211 	APD Saturated
       19	       692874 	APD Saturated
       20	       691391 	APD Saturated
       21	       692386 	APD Saturated
       22	       692816 	APD Saturated
       23	       691920 	APD Saturated
       24	       692658 	APD Saturated
       25	       692741 	APD Saturated
       26	       692434 	APD Saturated
       27	       693669 	APD Saturated
       28	       692837 	APD Saturated
       29	       692542 	APD Saturated
       30	       692469 	APD Saturated
       31	       693001 	APD Saturated
       32	       692152 	APD Saturated
       33	       693571 	APD Saturated
       34	       693319 	APD Saturated
       35	       691406 	APD Saturated
       36	       692110 	APD Saturated
       37	       692846 	APD Saturated
       38	       692359 	APD Saturated
       39	       692785 	APD Saturated
       40	       692898 	APD Saturated
       41	       693313 	APD Saturated
       42	       692755 	APD Saturated
       43	       692757 	APD Saturated
       44	       693019 	APD Saturated
       45	       693275 	APD Saturated
       46	       692242 	APD Saturated
       47	       692074 	APD Saturated
       48	       692662 	APD Saturated
       49	       692651 	APD Saturated
       50	       692926 	APD Saturated
       51	       692313 	APD Saturated
       52	       692421 	APD Saturated
       53	       692591 	APD Saturated
       54	       691762 	APD Saturated
       55	       692787 	APD Saturated
       56	       692230 	APD Saturated
       57	       692327 	APD Saturated
       58	       692696 	APD Saturated
       59	       691823 	APD Saturated
       60	       692386 	APD Saturated
       61	       692923 	APD Saturated
