Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-07-12
Time (HH:MM:SS):	12:50:57
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.1
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	Yes
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
      115	       679426 	APD Saturated
      116	       679912 	APD Saturated
      117	       679875 	APD Saturated
      118	       680048 	APD Saturated
      119	       680269 	APD Saturated
      120	       680986 	APD Saturated
      121	       680305 	APD Saturated
      122	       680715 	APD Saturated
      123	       678976 	APD Saturated
      124	       680164 	APD Saturated
      125	       678728 	APD Saturated
      126	       680388 	APD Saturated
      127	       680182 	APD Saturated
      128	       679610 	APD Saturated
      129	       679074 	APD Saturated
      130	       681108 	APD Saturated
      131	       680305 	APD Saturated
      132	       680675 	APD Saturated
      133	       680092 	APD Saturated
      134	       679864 	APD Saturated
      135	       679532 	APD Saturated
      136	       681085 	APD Saturated
      137	       679429 	APD Saturated
      138	       680427 	APD Saturated
      139	       680178 	APD Saturated
      140	       679600 	APD Saturated
      141	       680582 	APD Saturated
      142	       680179 	APD Saturated
      143	       678386 	APD Saturated
      144	       679443 	APD Saturated
      145	       679572 	APD Saturated
      146	       680117 	APD Saturated
      147	       679822 	APD Saturated
      148	       680069 	APD Saturated
      149	       680222 	APD Saturated
      150	       679371 	APD Saturated
      151	       679239 	APD Saturated
      152	       680043 	APD Saturated
      153	       679054 	APD Saturated
      154	       679338 	APD Saturated
      155	       680141 	APD Saturated
      156	       678794 	APD Saturated
      157	       680052 	APD Saturated
      158	       678385 	APD Saturated
      159	       679838 	APD Saturated
      160	       681302 	APD Saturated
      161	       679475 	APD Saturated
      162	       679596 	APD Saturated
      163	       680273 	APD Saturated
      164	       679348 	APD Saturated
      165	       679134 	APD Saturated
      166	       680352 	APD Saturated
      167	       678681 	APD Saturated
      168	       679245 	APD Saturated
      169	       680729 	APD Saturated
      170	       679462 	APD Saturated
      171	       680416 	APD Saturated
      172	       679079 	APD Saturated
      173	       679995 	APD Saturated
      174	       680066 	APD Saturated
      175	       680512 	APD Saturated
      176	       680257 	APD Saturated
      177	       679854 	APD Saturated
      178	       679870 	APD Saturated
      179	       679318 	APD Saturated
      180	       680124 	APD Saturated
      181	       678482 	APD Saturated
      182	       679483 	APD Saturated
      183	       680481 	APD Saturated
      184	       679962 	APD Saturated
      185	       678129 	APD Saturated
      186	       678492 	APD Saturated
      187	       679404 	APD Saturated
      188	       679943 	APD Saturated
      189	       678854 	APD Saturated
      190	       679369 	APD Saturated
      191	       679034 	APD Saturated
      192	       679150 	APD Saturated
      193	       680097 	APD Saturated
      194	       679230 	APD Saturated
      195	       680203 	APD Saturated
      196	       679506 	APD Saturated
      197	       681737 	APD Saturated
      198	       680246 	APD Saturated
      199	       679265 	APD Saturated
      200	       679637 	APD Saturated
      201	       679447 	APD Saturated
      202	       679554 	APD Saturated
      203	       678597 	APD Saturated
      204	       678598 	APD Saturated
      205	       678986 	APD Saturated
      206	       679607 	APD Saturated
      207	       679545 	APD Saturated
