Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2024-07-12
Time (HH:MM:SS):	12:55:59
Device Name:	SPCM50A
Serial Number:	M00296614
GUI Revision:	1.0 Build 23
Driver Revision:	1.1.0
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	0.1
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	Yes
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	       691428 	APD Saturated
        2	       692957 	APD Saturated
        3	       692569 	APD Saturated
        4	       692552 	APD Saturated
        5	       693061 	APD Saturated
        6	       692920 	APD Saturated
        7	       692661 	APD Saturated
        8	       692912 	APD Saturated
        9	       691723 	APD Saturated
       10	       692469 	APD Saturated
       11	       692268 	APD Saturated
       12	       692310 	APD Saturated
       13	       693335 	APD Saturated
       14	       692766 	APD Saturated
       15	       692753 	APD Saturated
       16	       692706 	APD Saturated
       17	       693153 	APD Saturated
       18	       692549 	APD Saturated
       19	       693081 	APD Saturated
       20	       693286 	APD Saturated
       21	       692245 	APD Saturated
       22	       692943 	APD Saturated
       23	       691769 	APD Saturated
       24	       692979 	APD Saturated
       25	       692127 	APD Saturated
       26	       691781 	APD Saturated
       27	       692185 	APD Saturated
       28	       691619 	APD Saturated
       29	       692481 	APD Saturated
       30	       693055 	APD Saturated
       31	       692422 	APD Saturated
       32	       691561 	APD Saturated
       33	       692171 	APD Saturated
       34	       692552 	APD Saturated
       35	       694065 	APD Saturated
       36	       692733 	APD Saturated
       37	       692329 	APD Saturated
       38	       691212 	APD Saturated
       39	       693199 	APD Saturated
       40	       691819 	APD Saturated
       41	       692094 	APD Saturated
       42	       692983 	APD Saturated
       43	       691907 	APD Saturated
       44	       692451 	APD Saturated
       45	       692431 	APD Saturated
       46	       691358 	APD Saturated
       47	       692246 	APD Saturated
       48	       692433 	APD Saturated
       49	       692080 	APD Saturated
       50	       691668 	APD Saturated
       51	       691720 	APD Saturated
       52	       691773 	APD Saturated
       53	       693122 	APD Saturated
       54	       694095 	APD Saturated
       55	       692230 	APD Saturated
       56	       693119 	APD Saturated
       57	       691215 	APD Saturated
       58	       692684 	APD Saturated
       59	       691955 	APD Saturated
       60	       692906 	APD Saturated
       61	       692579 	APD Saturated
       62	       692170 	APD Saturated
       63	       692146 	APD Saturated
       64	       691640 	APD Saturated
